nohup: ignoring input
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
{"epoch": 1, "learning_rate": 0.1, "train_accuracy": 0.09406, "train_loss": 4.0586507556152345, "validation_accuracy": 0.1485, "validation_loss": 3.5735094089508057}
{"epoch": 2, "learning_rate": 0.09999383162408304, "train_accuracy": 0.19496, "train_loss": 3.548149505081177, "validation_accuracy": 0.2351, "validation_loss": 3.071349294281006}
{"epoch": 3, "learning_rate": 0.09997532801828658, "train_accuracy": 0.29232, "train_loss": 3.1282460342407226, "validation_accuracy": 0.2994, "validation_loss": 2.7202586212158204}
{"epoch": 4, "learning_rate": 0.09994449374809851, "train_accuracy": 0.37234, "train_loss": 2.822235898666382, "validation_accuracy": 0.3628, "validation_loss": 2.4335331089019774}
{"epoch": 5, "learning_rate": 0.09990133642141359, "train_accuracy": 0.41688, "train_loss": 2.6441574814605713, "validation_accuracy": 0.4151, "validation_loss": 2.22290128364563}
{"epoch": 6, "learning_rate": 0.09984586668665642, "train_accuracy": 0.44856, "train_loss": 2.5399384857940674, "validation_accuracy": 0.404, "validation_loss": 2.30509161529541}
{"epoch": 7, "learning_rate": 0.09977809823015402, "train_accuracy": 0.47424, "train_loss": 2.4564839588928225, "validation_accuracy": 0.3969, "validation_loss": 2.3665466173171996}
{"epoch": 8, "learning_rate": 0.09969804777275901, "train_accuracy": 0.48492, "train_loss": 2.4096286891937257, "validation_accuracy": 0.3963, "validation_loss": 2.39510495262146}
{"epoch": 9, "learning_rate": 0.09960573506572391, "train_accuracy": 0.49966, "train_loss": 2.3696266259002687, "validation_accuracy": 0.424, "validation_loss": 2.224211040687561}
{"epoch": 10, "learning_rate": 0.09950118288582789, "train_accuracy": 0.50992, "train_loss": 2.333546269226074, "validation_accuracy": 0.4711, "validation_loss": 2.0016285903930666}
{"epoch": 11, "learning_rate": 0.09938441702975691, "train_accuracy": 0.5136, "train_loss": 2.3111722869873046, "validation_accuracy": 0.4773, "validation_loss": 1.9709666198730469}
{"epoch": 12, "learning_rate": 0.09925546630773871, "train_accuracy": 0.5231, "train_loss": 2.283719158248901, "validation_accuracy": 0.4655, "validation_loss": 2.0486566318511965}
{"epoch": 13, "learning_rate": 0.09911436253643445, "train_accuracy": 0.52732, "train_loss": 2.272070025177002, "validation_accuracy": 0.4282, "validation_loss": 2.256821475982666}
{"epoch": 14, "learning_rate": 0.0989611405310883, "train_accuracy": 0.53388, "train_loss": 2.24823758354187, "validation_accuracy": 0.4733, "validation_loss": 2.0154508670806885}
{"epoch": 15, "learning_rate": 0.09879583809693739, "train_accuracy": 0.53826, "train_loss": 2.2358146614074705, "validation_accuracy": 0.4391, "validation_loss": 2.2457267196655275}
{"epoch": 16, "learning_rate": 0.09861849601988384, "train_accuracy": 0.54266, "train_loss": 2.2224627046966554, "validation_accuracy": 0.4767, "validation_loss": 2.029029172706604}
{"epoch": 17, "learning_rate": 0.09842915805643157, "train_accuracy": 0.54778, "train_loss": 2.2065566081237793, "validation_accuracy": 0.3764, "validation_loss": 2.5528796115875245}
{"epoch": 18, "learning_rate": 0.09822787092288993, "train_accuracy": 0.54798, "train_loss": 2.2075391802978515, "validation_accuracy": 0.4298, "validation_loss": 2.351368022918701}
{"epoch": 19, "learning_rate": 0.09801468428384717, "train_accuracy": 0.55372, "train_loss": 2.1905122345733643, "validation_accuracy": 0.4827, "validation_loss": 2.001142426300049}
{"epoch": 20, "learning_rate": 0.09778965073991652, "train_accuracy": 0.55456, "train_loss": 2.1815675061798094, "validation_accuracy": 0.4822, "validation_loss": 1.9766294593811036}
{"epoch": 21, "learning_rate": 0.0975528258147577, "train_accuracy": 0.55826, "train_loss": 2.1752378407287596, "validation_accuracy": 0.4724, "validation_loss": 2.0203657278060914}
{"epoch": 22, "learning_rate": 0.09730426794137728, "train_accuracy": 0.55998, "train_loss": 2.16737798538208, "validation_accuracy": 0.4974, "validation_loss": 1.9145806816101074}
{"epoch": 23, "learning_rate": 0.09704403844771128, "train_accuracy": 0.5644, "train_loss": 2.1600490840148927, "validation_accuracy": 0.4857, "validation_loss": 1.960459359741211}
{"epoch": 24, "learning_rate": 0.09677220154149338, "train_accuracy": 0.56532, "train_loss": 2.1578462519836425, "validation_accuracy": 0.5028, "validation_loss": 1.910095051574707}
{"epoch": 25, "learning_rate": 0.09648882429441258, "train_accuracy": 0.56742, "train_loss": 2.1437204459381105, "validation_accuracy": 0.5087, "validation_loss": 1.8876349340438843}
{"epoch": 26, "learning_rate": 0.09619397662556435, "train_accuracy": 0.56802, "train_loss": 2.1481831465911867, "validation_accuracy": 0.5075, "validation_loss": 1.876881909751892}
{"epoch": 27, "learning_rate": 0.09588773128419906, "train_accuracy": 0.56728, "train_loss": 2.140455419464111, "validation_accuracy": 0.4961, "validation_loss": 1.9709978076934815}
{"epoch": 28, "learning_rate": 0.09557016383177226, "train_accuracy": 0.57108, "train_loss": 2.132006900558472, "validation_accuracy": 0.4848, "validation_loss": 1.9750360752105713}
{"epoch": 29, "learning_rate": 0.09524135262330098, "train_accuracy": 0.57334, "train_loss": 2.1282066708374026, "validation_accuracy": 0.4636, "validation_loss": 2.0973107191085814}
{"epoch": 30, "learning_rate": 0.09490137878803079, "train_accuracy": 0.57334, "train_loss": 2.1247442054748533, "validation_accuracy": 0.4828, "validation_loss": 2.0278846118927003}
{"epoch": 31, "learning_rate": 0.0945503262094184, "train_accuracy": 0.5726, "train_loss": 2.119527797470093, "validation_accuracy": 0.4678, "validation_loss": 2.0610676807403565}
{"epoch": 32, "learning_rate": 0.0941882815044347, "train_accuracy": 0.57748, "train_loss": 2.114518282775879, "validation_accuracy": 0.5359, "validation_loss": 1.7418323526382447}
{"epoch": 33, "learning_rate": 0.09381533400219319, "train_accuracy": 0.57808, "train_loss": 2.1102090242004397, "validation_accuracy": 0.4721, "validation_loss": 2.06242559967041}
{"epoch": 34, "learning_rate": 0.09343157572190958, "train_accuracy": 0.58144, "train_loss": 2.0994522323608398, "validation_accuracy": 0.4858, "validation_loss": 1.9739731143951416}
{"epoch": 35, "learning_rate": 0.0930371013501972, "train_accuracy": 0.57832, "train_loss": 2.1045762939453123, "validation_accuracy": 0.5357, "validation_loss": 1.7458627668380737}
{"epoch": 36, "learning_rate": 0.09263200821770463, "train_accuracy": 0.58266, "train_loss": 2.0939568703460694, "validation_accuracy": 0.4642, "validation_loss": 2.0943691062927248}
{"epoch": 37, "learning_rate": 0.09221639627510078, "train_accuracy": 0.58228, "train_loss": 2.0925128943634035, "validation_accuracy": 0.5279, "validation_loss": 1.804572129058838}
{"epoch": 38, "learning_rate": 0.09179036806841355, "train_accuracy": 0.58468, "train_loss": 2.0852130314636232, "validation_accuracy": 0.4948, "validation_loss": 1.9557273223876954}
{"epoch": 39, "learning_rate": 0.09135402871372812, "train_accuracy": 0.58306, "train_loss": 2.085737542037964, "validation_accuracy": 0.5133, "validation_loss": 1.8599215822219848}
{"epoch": 40, "learning_rate": 0.0909074858712512, "train_accuracy": 0.58656, "train_loss": 2.077394213485718, "validation_accuracy": 0.5256, "validation_loss": 1.8143445457458496}
{"epoch": 41, "learning_rate": 0.09045084971874741, "train_accuracy": 0.5886, "train_loss": 2.0765534127807617, "validation_accuracy": 0.5171, "validation_loss": 1.8243004667282106}
{"epoch": 42, "learning_rate": 0.08998423292435458, "train_accuracy": 0.59076, "train_loss": 2.065012456817627, "validation_accuracy": 0.5336, "validation_loss": 1.7765530006408692}
{"epoch": 43, "learning_rate": 0.08950775061878455, "train_accuracy": 0.59372, "train_loss": 2.064295003051758, "validation_accuracy": 0.5059, "validation_loss": 1.9098870895385742}
{"epoch": 44, "learning_rate": 0.08902152036691653, "train_accuracy": 0.59048, "train_loss": 2.064419067077637, "validation_accuracy": 0.5157, "validation_loss": 1.8397661365509033}
{"epoch": 45, "learning_rate": 0.08852566213878951, "train_accuracy": 0.59452, "train_loss": 2.0571586387634277, "validation_accuracy": 0.527, "validation_loss": 1.8169271295547484}
{"epoch": 46, "learning_rate": 0.0880202982800016, "train_accuracy": 0.59788, "train_loss": 2.0463204313659666, "validation_accuracy": 0.5169, "validation_loss": 1.8588224206924437}
{"epoch": 47, "learning_rate": 0.08750555348152303, "train_accuracy": 0.60116, "train_loss": 2.0384923916625977, "validation_accuracy": 0.5084, "validation_loss": 1.9091139270782471}
{"epoch": 48, "learning_rate": 0.08698155474893052, "train_accuracy": 0.59694, "train_loss": 2.049820333175659, "validation_accuracy": 0.5438, "validation_loss": 1.726187936782837}
{"epoch": 49, "learning_rate": 0.08644843137107061, "train_accuracy": 0.60122, "train_loss": 2.0413215518188474, "validation_accuracy": 0.5285, "validation_loss": 1.8142363241195678}
{"epoch": 50, "learning_rate": 0.08590631488815947, "train_accuracy": 0.59876, "train_loss": 2.0372959701538087, "validation_accuracy": 0.5146, "validation_loss": 1.827204292678833}
{"epoch": 51, "learning_rate": 0.0853553390593274, "train_accuracy": 0.60166, "train_loss": 2.0266930730056765, "validation_accuracy": 0.5046, "validation_loss": 1.9173016216278076}
{"epoch": 52, "learning_rate": 0.08479563982961574, "train_accuracy": 0.60322, "train_loss": 2.03206318359375, "validation_accuracy": 0.5526, "validation_loss": 1.7188542701721192}
{"epoch": 53, "learning_rate": 0.08422735529643446, "train_accuracy": 0.6052, "train_loss": 2.0218362516403197, "validation_accuracy": 0.5208, "validation_loss": 1.824196370124817}
